"ID","POS","term","category","appliesTo","definition","category2","dataSource"
"2321","A","shaggy","pubescence",,"Bearing sparse, long, slender, soft, capillate trichomes that are not intertwined.  See also villosulous.","pubescence",
"2322","A","sharp","shape",,"Acutely angular; regularly and more or less straightly attenuate to an angular tip, the sides intersecting at an angle of less than 90-¥+¢+¥+¢.","shape",
"2323","N","sheath","structure","leaf","The lower (basal or proximal), fundamentally laminar but strongly involute portion of one of the non-petiolate leaves characteristic of most monocotyledons (Liliidae); distinct from the leaf blade, which, when present, is borne distally upon it; analogous","STRUCTURE",
"2324","A","sheathed","architecture","structure","Closely enclosed over some or all of its length by a terete or involute structure.","architecture",
"2325","A","sheathing","architecture","foliaceous structure","Differentiated into distinct proximal and distal portions, the former terete or involute and closely enclosing the bearing axis above the point of insertion.","shape",
"2326","A","sheathing","shape","laminar structure","Terete or involute and closely enclosing the supporting axis for some distance above the point of insertion.","shape",
"2327","A","shining","reflectance",,"Uniformly reflecting a high proportion of incident light at all angles.","reflectance",
"2328","A","shiny","reflectance",,"Uniformly reflecting a high proportion of incident light at all angles.","reflectance",
"2329","N","shoot","structure",,"Collectively, all those portions of a plant body that are anatomically distinct from the root, the component axes differentiated into nodes and internodes, and branching exogenously from the former.","STRUCTURE",
"2331","N","short-shoot","structure",,"A first- or higher-order woody stem branch having relatively unelongated internodes, thus proximate nodes, and limited duration of growth, usually branching little if at all; often a main locus of flower production; usually more or less perpendicular to t","STRUCTURE",
"2332","A","showy","manifestation",,"Prominently evident and attractive due to size, shape and/or coloration.","manifestation",
"2333","N","shrub","life-form","plant","Perennial, woody, relatively short, with a single main stem that is not distinctly columnar and branches from or above ground level, the branches often crowded.  See also subshrub (suffrutex, undershrub), tree, woody clump.","nominative",
"2334","A","shrubby","habit","plant","Having or developing the character of a shrub.  See also arboreous, arborescent, subshrubby, suffrutescent, suffruticose, tree-like, woody-clumping.","habit",
"2335","A","sickle-shaped","shape",,"Elongate and laterally arcuate with the lateral edges more or less concentric, the degree of curvature decreasing distally or not; like the outline of the face of a sickle blade.","shape",
"2337","A","sigmoid","course",,"Curved more or less regularly first in one direction and then in the opposite direction, like the letter S.","course",
"2338","A","sigmoid","shape",,"Elongate with more or less constant width or diameter and curved more or less regularly first in one direction and then in the opposite direction, like the letter S.","shape",
"2339","A","siliceous","texture","epidermis, trichome","Containing deposits of silica, thus hardened and abrasive.","texture",
"2340","N","silicle","structure","fruit","Dry, septifragal, two-loculed and derived from a single, superior, compound ovary; longer than broad; dehiscing along two sutures, one adaxial, one abaxial, leaving a single persistent septum (replum) after the two valves of the pericarp have fallen away;","nominative",
"2341","N","silique","structure","fruit","Like a silicle, but broader than long; esp. in Brassicaceae (Cruciferae), Capparaceae.","nominative",
"2342","A","silky","pubescence",,"Of or bearing long, fine, appressed, capillate trichomes and like silk to the touch.","pubescence",
"2343","A","simple","architecture",,"Externally unitary and comprising only one basic morphological unit; not compound in either sense of that term.","architecture",
"#","A","simple","architecture","trichome","Unicellular and unbranched.","architecture",
"2345","A","simple-craspedodromous","venation",,"Having a midvein that branches to either side along the length of the lamina, the secondary veins and their branches all running toward and terminating at the margin.","venation",
"2346","A","simple-lipped","architecture","stomate","Having subsidiary cells not derived from the primary stoma mother cell and thus not immediately related ontogenetically to the guard cells.","architecture",
"2347","A","single_","prefix",,"Indicating presence of or constitution by one entity of the type denoted by the term's stem; as in single-celled, single-headed, single-seeded.  See also entries for particular terms with this prefix whose meanings, at least in some applications, are more","prefix",
"2348","A","single-leafleted","architecture","foliaceous structure","Structurally compound but with only one leaflet, whose nature (as a leaflet, not a leaf) is revealed by an evident articulation with the petiole, this condition presumably derived by evolutionary reduction from a multifoliolate precursor.","architecture",
"2349","A","single-veined","venation",,"Having one median, primary vein and no other venation externally evident.","venation",
"2350","A","sinistrorse","orientation",,"Directed to the left, relative to the direction of growth along an explicit or implicit axis of reference.  See also dextrorse (rightward).","orientation",
"2351","A","sinuate","shape","margin","Having regular, curved, smoothly connected, alternating concavities and convexities.  See also repand.","shape",
"2352","A","sinuous","course",,"Regularly wavy in one plane, curved alternately and more or less regularly to either side.","course",
"2353","N","sinus","FEATURE",,"The space, indentation, or invagination (or, for some descriptive purposes, the outline thereof) between and delimiting any two consecutive or adjacent lobes or teeth of a structure.","FEATURE",
"2355","N","sinuses","FEATURE",,"The space, indentation, or invagination (or, for some descriptive purposes, the outline thereof) between and delimiting any two consecutive or adjacent lobes or teeth of a structure.","FEATURE",
"2356","A","six_","prefix",,"Indicating presence of or constitution by six entities of the type denoted by the term's stem; as in six-angled, six-sepaled, six-styled.","prefix",
"2357","N","size","CHARACTER",,"Nature as to absolute or comparative extent in any one dimension or in area or volume.","CHARACTER",
"2358","N","slash","FEATURE",,,,
"2358","A","slashed","shape",,"Having relatively close, more or less straight lines of separation exending inward from the margin.  See also cleft (dissected, divided, lobate, lobed, parted, partite, segmented).","shape",
"2359","A","slipper-shaped","shape",,"Relatively thin-walled with an essentially hollow interior that is open on one side at the broader end.","shape",
"2360","A","small-beaked","shape",,"Diminutively beaked (rostrate).","shape",
"2361","A","small-bristly","pubescence",,"Finely setose (hispid).","pubescence",
"2362","A","small-dotted","coloration",,"Finely dotted (punctate).","coloration","q"
"2363","A","small-dotted","relief",,"Finely dotted (punctate).","coloration","q"
"2364","A","small-sawtoothed","shape",,"Finely sawtoothed (serrate).  See also scalloped (crenate), small-scalloped (crenulate), small-toothed (denticulate), toothed (dentate).","shape",
"2365","A","small-scalloped","shape",,"Finely scalloped (crenate).  See also sawtoothed (serrate), small-sawtoothed (serrulate), small-toothed (denticulate), toothed (dentate).","shape",
"2366","A","small-toothed","shape",,"Finely toothed (dentate).  See also sawtoothed (serrate), scalloped (crenate), small-scalloped (crenulate), small-sawtoothed (serrulate).","shape",
"2367","A","smooth","relief",,"Even or unrelieved overall.  Strictly applied, this term refers only to the surface proper; however, it is often used to mean glabrous as well.","relief",
"2638","A","smooth","texture","bark","Unfissured; not cracked or split to any significant degree.","relief",
"2369","A","snail-shell-shaped","shape",,"Relatively broad and short, basically round in transverse section, resembling a rapidly tapering spire overall, the exterior helically convoluted.","shape",
"2370","A","soboliferous","architecture","plant","Having several, loosely clumped, principal stems that arise from a common underground stem system, each distinct above ground level.","architecture",
"2371","A","soft","texture",,"Yielding under slight pressure.","texture",
"2372","A","solid","architecture","pith","Uninterrupted by cavities and essentially homogeneous in texture at axis maturity.","architecture",
"2373","N","solid_shape","CHARACTER",,"Overall three-dimensional form or aspect(s) thereof.  Overlaps conceptually with architecture, arrangement, habit, insertion, orientation, position, relief, and texture (as to thickness).","CHARACTER",
"2374","A","solitary","arrangement",,"Disposed singly, each remote from any others.","habit",
"2375","A","solitary","habit","plants","Growing singly; not aggregated.","habit",
"2375a","A","solitary","architecture",,"habit",,
"2375a","A","solitary","structure-infl",,,,
"2376","N","sorus","structure",,"A cluster of sporangia borne upon a fertile frond, usually on its abaxial surface; often covered during maturation by a protective membrane, the indusium, that is an outgrowth from the epidermis; in Polypodiophyta.","STRUCTURE",
"2377","N","sori","structure",,"A cluster of sporangia borne upon a fertile frond, usually on its abaxial surface; often covered during maturation by a protective membrane, the indusium, that is an outgrowth from the epidermis; in Polypodiophyta.","STRUCTURE",
"2378","A","spadicate","structure-infl","inflorescence","Generally spicate but with the flowers embedded in a thick, fleshy axis, the whole subtended and usually partially or wholly enveloped by a large bract (spathe).","architecture",
"2379","N","spadix","structure",,"A thick, fleshy, primary inflorescence axis bearing sessile flowers more or less sunken into its surface, the whole subtended and sometimes partially enclosed by a specialized bract, the spathe; esp. in Araceae.","STRUCTURE",
"2380","N","spadices","structure",,"A thick, fleshy, primary inflorescence axis bearing sessile flowers more or less sunken into its surface, the whole subtended and sometimes partially enclosed by a specialized bract, the spathe; esp. in Araceae.","STRUCTURE",
"2381","A","spathaceous","architecture","plant, inflorescence","Bearing a spathe or spathes.","architecture",
"2382","A","spathaceous","architecture","foliaceous structure","Resembling a spathe.","architecture",
"2383","N","spathe","structure",,"A usually relatively large, sometimes showy, foliose bract subtending and sometimes partially enclosing an inflorescence, esp. a spadicate one; in Liliidae (monocotyledons).","STRUCTURE",
"2384","A","spathe-like","architecture","foliaceous structure","Resembling a spathe.","architecture",
"2385","A","spathulate","shape",,"See spatula-shaped, spatulate.","shape",
"2386","A","spatula-shaped","shape",,"Elongate, broadest near a rounded apex, gradually attenuate to a narrower base; like the outline of the broad face of a spatula blade.","shape",
"2387","A","spatulate","shape",,"Elongate, broadest near a rounded apex, gradually attenuate to a narrower base; like the outline of the broad face of a spatula blade.","shape",
"2389","N","sperm","structure",,"A male gamete.","STRUCTURE",
"2390","N","spermatozoid","structure",,"A motile male gamete, produced within an antheridium.","STRUCTURE",
"2391","A","_spermous","architecture","fruit","Having the number of seeds indicated by the prefix; as in oligospermous, polyspermous, tetraspermous.","architecture",
"2392","A","spheric","shape",,"Uniformly convex, circular in any median section and in outline when viewed from any angle; like a sphere or globe.","shape",
"2393","A","spherical","shape",,"Uniformly convex, circular in any median section and in outline when viewed from any angle; like a sphere or globe.","shape",
"2394","A","spheroid","shape",,"Uniformly convex, circular in any median section and in outline when viewed from any angle; like a sphere or globe.","shape",
"2395","A","spheroidal","shape",,"Uniformly convex, circular in any median section and in outline when viewed from any angle; like a sphere or globe.","shape",
"2396","A","spicate","structure-infl","inflorescence","Comprising one or more spikes.","architecture",
"2397","A","spiciform","structure-infl","capitulescence, inflorescence","Resembling a spike, but not strictly such.","architecture",
"2398","A","spiculate","relief",,"Having small, fine, stiff, acute protrusions that resemble little spikes.  See also scabridulous (scabrellate, scabrellous, which is not clearly distinct in its application.","relief",
"2399","N","spicule","structure",,"A small, fine, stiff, acute protrusion that resembles a little spike.","STRUCTURE",
"2400","A","spicy","odor",,"Pleasantly pungent, reminiscent of spices.","odor",
"2401","N","spike","structure-infl","inflorescence","An elongate, determinate or usually indeterminate axis bearing sessile flowers inserted singly along it, unbranched or sometimes bearing lateral branches of the same nature.","nominative",
"2402","A","spike-like","structure-infl","capitulescence, inflorescence","Resembling a spike, but not strictly such.","architecture",
"2403","N","spikelet","structure-infl","inflorescence","A compound structure belonging to the penultimate subdivisional order of a sedge or grass inflorescence; consisting of one or more florets (each a diminutive flower subtended by specialized bractlets (bracteoles) called scales or glumes in sedges, lemma a","nominative",
"2404","A","spikeleted","structure-infl","inflorescence","Having the penultimate subdivisional order consisting of spikelets.","architecture",
"2405","A","spindle-shaped","shape",,"Elongate, transversely round, broadest at the middle and regularly attenuate to either end.","shape",
"2406","N","spine","structure",,"Any sharp, stiff, simple or branched, woody appendage having vascular tissues confluent with those of the bearing structure.  'Spine' is often preferred when the appendage is homologous with a leaf or stipule, and 'thorn' when it is homologous with a bran","STRUCTURE",
"2407","A","spinescent","architecture",,"Becoming spinose.","architecture",
"2409","A","spinose","architecture",,"Bearing spines.  See also spinulose.","shape",
"2410","A","spinose","shape","margin","Having slender, stiff, sharp projections oriented in the general plane of the structure.  See also spinulose.","shape",
"2411","A","spinulose","shape","margin","Finely spinose.","shape",
"2412","A","spinulose","architecture",,"Finely spinose.","architecture",
"2414","A","spiny","architecture",,"Bearing spines.","shape",
"2415","A","spiny","shape",,"Having slender, stiff, sharp projections oriented in the general plane of the structure.","shape",
"2416","A","spiral","arrangement",,"Disposed helically about and along the axis, each on a different radius than the one(s) vertically adjacent.","arrangement","q"
"2417","A","spiral","course",,"Curving with regularly increasing radius from one end to the other in one general plane.","arrangement","q"
"2418","A","spire-shaped","shape",,"Attenuate-spiral in three dimensions, the coils contiguous or not.","shape",
"2419","A","spirolobal","arrangement","cotyledons","Incumbent and folded together transversely.","arrangement",
"2420","A","splendent","reflectance",,"Interruptedly glossy (laevigate, lustrous, polished, shining, shiny) and thus sparkling when viewed from changing angles.","reflectance",
"2421","A","spongy","texture",,"Soft, light, discontinuous but cohesive, and somewhat resilient.","texture",
"2422","N","sporangiophore","structure",,"A stalk that bears one or more sporangia.","STRUCTURE",
"2423","N","sporangium","structure",,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often operculate (lidded).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Sporangia or","STRUCTURE",
"2424","N","sporangia","structure",,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often operculate (lidded).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Sporangia or","STRUCTURE",
"2425","N","spore","structure",,"A simple, usually unicellular, sometimes oligocellular propagule derived by meiotic division of a diploid (2n chromosomes) sporocyte within a sporangium, thus of haploid (n chromosomes) genetic constitution.  A spore constitutes the first ontogenetic stag","STRUCTURE",
"2426","N","spore_body","structure",,"A multicellular structure that bears and more or less encloses several to (usually) many sporangia, the latter often aggregated into sori within it  See also megasporocarp (macrosporocarp, not recommended), microsporocarp.","STRUCTURE",
"2427","N","spore_case","structure",,"A spore-producing organ; basically capsular, often supported by a slender stalk (sporangiophore), often lidded (operculate).  In Bryophyta and Polypodiophyta, a distinct portion of the sporangial wall effects regular dehiscence at maturity.  Spore cases o","STRUCTURE",
"2428","N","spore_leaf","structure",,"A leaf or homologous structure that bears sporangia  See also  megasporophyll (macrosporophyll, not recommended), microsporophyll.","STRUCTURE",
"2429","N","sporocarp","structure",,"A multicellular structure that bears and more or less encloses several to (usually) many sporangia, the latter often aggregated into sori within it  See also megasporocarp (macrosporocarp, not recommended), microsporocarp.","STRUCTURE",
"2430","N","sporophyll","structure",,"A leaf or homologous structure that bears sporangia.  See also megasporophyll (macrosporophyll, not recommended), microsporophyll.","STRUCTURE",
"2431","N","sporophyte","PLANT",,"The main, ultimate, spore-bearing stage in the diploid (2n chromosomes) phase of a taxon's life cycle.  Two morphologically and genetically distinct and alternate phases together constitute the complete life cycle in sexually reproducing taxa, the other p","PLANT",
"2432","N","spot","FEATURE",,"An area that differs in color from the rest of a structure's surface, usually due to differing coloration.  See also eyespot.","FEATURE",
"2433","A","spotted","coloration",,"Having one or more areas that differ in color from the rest of the surface.  See also eyespotted.","coloration",
"2434","A","spreading","orientation","lateral structure","Antrorse and diverging at an acute angle from the bearing structure.","orientation",
"2435","N","spur","structure",,"A hollow protrusion from a calyx or corolla, often nectariferous.","STRUCTURE",
"2436","N","spur","structure",,"A first- or higher-order woody stem branch having relatively unelongated internodes, thus proximate nodes, and limited duration of growth, usually branching little if at all; often a main locus of flower production; usually more or less perpendicular to t","STRUCTURE",
"2437","A","spurred","shape",,"Having a relatively slender protrusion resembling a spur.","shape",
"2438","N","squama","structure",,"A relatively thick, planate trichome.  See also squamella (squamule).","STRUCTURE",
"2439","N","squamae","structure",,"A relatively thick, planate trichome.  See also squamella (squamule).","STRUCTURE",
"2440","A","squamate","pubescence",,"Bearing squamae (lepides).  See also squamellose.","pubescence",
"2441","N","squamella","structure",,"A diminutive squama (lepis).","STRUCTURE",
"2442","N","squamellae","structure",,"A diminutive squama (lepis).","STRUCTURE",
"2443","N","squamella","structure",,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).","STRUCTURE",
"2444","N","squamellae","structure",,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).","STRUCTURE",
"2445","N","squamella","structure",,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.","STRUCTURE",
"2446","N","squamellae","structure",,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.","STRUCTURE",
"2447","A","squamellose","pubescence",,"Finely squamose (lepidote).","pubescence",
"2448","A","squamiform","shape",,"Isodiametric to elongate in broad outline, relatively very thin, and planate to moderately concave-convex.","shape",
"2449","A","squamose","pubescence",,"Bearing squamae (lepides).  See also squamellose.","pubescence",
"2450","N","squamule","structure",,"A diminutive squama (lepis).","STRUCTURE",
"2451","N","squamule","structure",,"A small, dry bract borne on the compound receptacle (torus) of a capitulum (head); in Asteraceae (Compositae).","STRUCTURE",
"2452","N","squamule","structure",,"One of two or three small, scale-like structures inserted at the base of the androecium, distal to the palea, in most grass (Poaceae) flowers; often regarded as a vestigial branch or perianth member.","STRUCTURE",
"2453","A","square","shape",,"Equilaterally rectangular.","shape",
"2454","A","squarrose","orientation","lateral structure","Having the proximal portion appressed and the distal portion deflexed, the latter more or less perpendicular to the surface of the bearing structure.","orientation",
"2455","N","stalk","structure",,"A supporting axis or column that bears a structure at its apex; may be ontogenetically distinct from the structure that it bears, or may be the basal portion of an ontogenetic entity that includes both the stalk and the structure that it bears; usually na","STRUCTURE",
"2456","A","stalked","architecture","flower","Having a pedicel.","architecture",
"2457","A","stalked","structure-infl","inflorescence","Having a peduncle.","architecture",
"2458","A","stalked","architecture","leaf","Having a petiole.","architecture",
"2459","A","stalked","architecture","leaflet","Having a petiolule.","architecture",
"2460","A","stalked","architecture","ovule","Having a funiculus (funicle), by which it is attached to the ovary wall.","architecture",
"2461","A","stalked","architecture","fruit","Having a stipe.","architecture",
"2462","A","stalkless","architecture",,"Lacking a stalk, thus inserted ('sitting') directly upon the bearing structure.","architecture",
"2463","N","stamen","structure",,"A seed-plant organ that produces and releases pollen; usually comprising a stalk (filament) that bears a locular structure (anther) containing sporogenous tissue; however, the filament may be lacking and the anther sessile, or the stamen may be undifferen","STRUCTURE",
"2464","A","_stamened","architecture","flower, floret, androecium","Having the number of stamens indicated by the prefix; as in twelve-stamened.","architecture",
"#","A","staminal","insertion",,"Upon or otherwise directly associated with the stamens.","arrangement","q"
"2466","A","staminal","position",,"Upon or otherwise directly associated with the stamens.","arrangement","q"
"2467","A","staminate","architecture","inflorescence, flower, floret","Having functional stamens but no functional pistils, thus unisexual and male.","architecture",
"2468","N","staminode","structure",,"Any sterile structure deemed to represent a modified stamen, homology being inferred on the basis of structural similarity, ontogeny, and/or position; sometimes petaloid, sometimes nectariferous, sometimes connate with others or adnate to other floral str","STRUCTURE",
"#","A","staminodial","insertion",,"Upon or otherwise directly associated with the staminodes.","arrangement","q"
"2470","A","staminodial","position",,"Upon or otherwise directly associated with the staminodes.","arrangement","q"
"2471","N","staminodium","structure",,"Any sterile structure deemed to represent a modified stamen, homology being inferred on the basis of structural similarity, ontogeny, and/or position; sometimes petaloid, sometimes nectariferous, sometimes connate with others or adnate to other floral str","STRUCTURE",
"2472","N","staminodia","structure",,"Any sterile structure deemed to represent a modified stamen, homology being inferred on the basis of structural similarity, ontogeny, and/or position; sometimes petaloid, sometimes nectariferous, sometimes connate with others or adnate to other floral str","STRUCTURE",
"2473","N","standard","structure",,"The relatively large, erect adaxial (upper) petal in a papilionaceous corolla.","STRUCTURE",
"2474","A","star-shaped","shape",,"Having four or more intersecting radiate lobes or portions, each distally slender; like the stylized outline of a star.","shape",
"2475","A","star-shaped","shape",,"Having a distal aspect like the stylized shape of a star; stipitate or sessile with elongate branches or appendages radiating widely in three dimensions from a common point at the apex of the proximal axis or, when sessile, upon the bearing surface.","shape",
"2476","A","stellate","arrangement",,"Disposed about and mutually divergent from a common geometric center in two or three dimensions, thus collectively actinomorphic.","shape",
"2477","A","stellate","shape",,"Having four or more intersecting radiate lobes or portions, each distally slender; like the stylized outline of a star.","shape",
"2478","A","stellate","shape",,"Having a distal aspect like the stylized shape of a star; stipitate or sessile with elongate branches or appendages radiating widely in three dimensions from a common point at the apex of the proximal axis or, when sessile, upon the bearing surface.","shape",
"2479","N","stem","structure",,"The entire axial system of a shoot, or a component, primary or higher-order (branch) axis of the shoot; differentiated anatomically and morphologically into nodes and internodes, from the former of which it branches exogenously and bears leaves, bracts, a","STRUCTURE",
"2480","A","stemless","architecture","plant","Lacking any evident, elongate, aboveground stem, other than reproductive axes, at maturity, the leaves and/or reproductive axes arising essentially at substrate level from a very short axis with highly congested nodes.","architecture",
"2481","A","stemmed","architecture","plant","Having at maturity an evident, elongate, aboveground stem or stems from which branches, leaves, and/or reproductive axes arise at one or more levels along its length.","architecture",
"2482","A","umbel-like","structure-infl","capitulescence, inflorescence","Resembling an umbel, but not strictly such.","architecture",
"2483","A","umbellate","structure-infl","inflorescence","Comprising one or more umbels.","shape",
"2484","N","umbellet","structure-infl","inflorescence","A single set of pedicellate flowers in a compound umbel.","nominative",
"2485","A","umbelliform","structure-infl","capitulescence, inflorescence","Resembling an umbel, but not strictly such.","architecture",
"2486","A","umbilicate","shape",,"Having a relatively small, transversely round, central depression in an essentially round broad face.","shape",
"2487","N","umbo","FEATURE",,"A relatively small, rounded or conical, central protrusion upon an essentially round, broad face.","FEATURE",
"2488","N","umbines","FEATURE",,"A relatively small, rounded or conical, central protrusion upon an essentially round, broad face.","FEATURE",
"2489","N","umbos","FEATURE",,"A relatively small, rounded or conical, central protrusion upon an essentially round, broad face.","FEATURE",
"2490","A","umbonate","shape",,"Having an umbo.","shape",
"2491","A","umbraculiform","shape",,"Having a slender, elongate proximal axis and a very broad, meniscoid distal portion, the latter oriented with its convex face distal; like an umbrella.","shape",
"2492","A","umbrella-shaped","shape",,"Having a slender, elongate proximal axis and a very broad, meniscoid distal portion, the latter oriented with its convex face distal; like an umbrella.","shape",
"2493","A","unbranched","architecture","axis, laminar vein","Not branching at any point.","architecture",
"2494","A","stephanocolpate","architecture","pollen grain","Having more than three surficial grooves (colpi) oriented meridionally.","architecture",
"2495","A","stephanocolporate","architecture","pollen grain","Stephanocolpate, each groove containing a pore.","architecture",
"2496","A","stephanoporate","architecture","pollen grain","Having more than three pores disposed equatorially.","architecture",
"2497","N","sterigma","structure",,"A portion of a lamina that is prolonged and adherent to the supporting axis beneath the point of vascular insertion.","STRUCTURE",
"2498","N","sterigmata","structure",,"A portion of a lamina that is prolonged and adherent to the supporting axis beneath the point of vascular insertion.","STRUCTURE",
"2499","A","sterile","reproduction","plant, reproductive structure","Not producing functional spores, gametes, pollen, ovules, seeds, or other propagules.","reproduction",
"2500","N","sterile_frond","structure",,"A frond that does not bear sporangia; in Polypodiophyta.  See also fertile frond.","STRUCTURE",
"2501","A","_stichous","arrangement",,"Disposed along the axis in the number of distinct ranks indicated by the prefix; as in distichous, polystichous, tristichous.","arrangement",
"2502","A","stiff","texture",,"Strongly resisting deformation over its length.","texture",
"2503","N","stigma","structure",,"An exposed, localized portion of a pistil that retains deposited pollen and stimulates its germination, the pollen tubes then growing through or along it toward the ovule(s).","STRUCTURE",
"2504","N","stigmata","structure",,"An exposed, localized portion of a pistil that retains deposited pollen and stimulates its germination, the pollen tubes then growing through or along it toward the ovule(s).","STRUCTURE",
"2505","N","stigmas","structure",,"An exposed, localized portion of a pistil that retains deposited pollen and stimulates its germination, the pollen tubes then growing through or along it toward the ovule(s).","STRUCTURE",
"2506","A","stigmatic","habit","trichome","Borne on the surface of the stigma and serving to hold pollen deposited there, variously shaped, often glandular, sometimes contractile.","habit",
"2507","N","stilt_root","structure",,"A relatively stout or strong adventitious root arising from a woody stem branch and extending downward directly toward the substrate, within which it ultimately becomes anchored, thus supporting the branch of origin; as in some Ficus (Moraceae).","STRUCTURE",
"2508","A","stilt-rooted","architecture","plant","Bearing and partly supported by stilt roots.","architecture",
"2509","A","stinging","habit","trichome","Setaceous or capillate and ejecting an irritating fluid when the apex is dislocated by external pressure, the ejection accomplished by release of existing internal fluid pressure or by contraction of the whole trichome.","habit",
"2510","N","stipe","structure","Orchidaceae","A small, slender connection between a pollinium caudicle and a viscidium; in Orchidaceae.","STRUCTURE",
"2511","N","stipe","structure",,"A stalk of or supporting a frond, inflorescence, or gynoecium.","STRUCTURE",
"2512","N","stipel","structure",,"A stipular analogue subtending a leaflet.","STRUCTURE",
"2513","A","stipitate","architecture","structure","Having a stipe.","architecture",
"2514","N","stipule","structure",,"Any distinct, relatively diminutive, more or less foliaceous structure inserted on a stem alongside a petiole, or on a petiole near its base, and ontogenetically closely associated with the leaf; usually occurring as one of a pair disposed one to either s","STRUCTURE",
"2515","N","stipule_scar","FEATURE",,"A scar on a stem or petiole due to abscission of a stipule; having an outline like that of a transverse section through the base of the stipule inserted there; variously disposed, usually in pairs, adjacent to a point of leaf insertion, sometimes confluen","FEATURE",
"2516","N","stolon","structure",,"A slender stem that grows horizontally upon or just beneath the ground surface, rooting at the nodes and giving rise to erect shoot segments at some nodes and/or at its apex.","STRUCTURE",
"2517","A","stoloniferous","architecture","plant","Producing stolons (runners), by means of which it propagates vegetatively.","architecture",
"2518","N","stoma","structure",,"A localized functional epidermal unit consisting of a microscopic pore and two encircling specialized cells, the guard cells, which, through changes of turgor pressure in response to environmental conditions, regulate the size of the pore and thus the rat","STRUCTURE",
"2519","N","stomata","structure",,"A localized functional epidermal unit consisting of a microscopic pore and two encircling specialized cells, the guard cells, which, through changes of turgor pressure in response to environmental conditions, regulate the size of the pore and thus the rat","STRUCTURE",
"2520","N","stoma","FEATURE",,"The aperture between and regulated by the two guard cells of a stomate (stomatal apparatus).","FEATURE",
"2521","N","stomata","FEATURE",,"The aperture between and regulated by the two guard cells of a stomate (stomatal apparatus).","FEATURE",
"2522","N","stomatal_apparatus","structure",,"A localized functional epidermal unit consisting of a microscopic pore and two encircling specialized cells, the guard cells, which, through changes of turgor pressure in response to environmental conditions, regulate the size of the pore and thus the rat","STRUCTURE",
"2523","N","stomatal_pore","FEATURE",,"The opening between and regulated by the two guard cells of a stomate (stomatal apparatus).","FEATURE",
"2524","N","stomatal_pore","FEATURE",,"The opening in the wall of a sporangium, between the lip cells, through which the spores exit; in Psilotophyta, Lycopodiophyta, Equisetophyta, Polypodiophyta.","FEATURE",
"2525","N","stomate","structure",,"A localized functional epidermal unit consisting of a microscopic pore and two encircling specialized cells, the guard cells, which, through changes of turgor pressure in response to environmental conditions, regulate the size of the pore and thus the rat","STRUCTURE",
"2526","A","stomate-bearing","architecture",,"Having stomates present in the epidermis.","architecture",
"2527","A","stomatiferous","architecture",,"Having stomates present in the epidermis.","architecture",
"2528","N","stomium","FEATURE",,"The opening in the wall of a sporangium, between the lip cells, through which the spores exit; in Psilotophyta, Lycopodiophyta, Equisetophyta, Polypodiophyta.","FEATURE",
"2529","N","stomia","FEATURE",,"The opening in the wall of a sporangium, between the lip cells, through which the spores exit; in Psilotophyta, Lycopodiophyta, Equisetophyta, Polypodiophyta.","FEATURE",
"2530","N","stone","structure",,"The hard inner portion of a drupe, consisting of osseous endocarp and included seed.","STRUCTURE",
"2531","N","stone_fruit","structure","fruit","Fleshy, indehiscent and derived from a single, superior, simple or compound ovary; having a soft outer wall (exocarp and mesocarp) and an osseous inner stone (endocarp) containing the seed(s) (usually only one).","nominative",
"2532","A","straight","course",,"Lacking significant curves or bends.","course",
"2532","A","straight","shape",,"Lacking significant curves or bends.","course",
"2533","A","strap-shaped","shape",,"Elongate and relatively thin with the opposite faces more or less plane and moderately narrow, their edges more or less straight and parallel over most of their length; resembling a strap.","shape",
"2534","A","streaked","coloration",,"Having an overall pattern of fine, more or less parallel lines of contrasting hue and/or intensity.","coloration","q"
"2535","A","streaked","relief",,"Covered with very narrow and shallow, relatively long, more or less straight and parallel depressions.","coloration","q"
"2536","A","striate","coloration",,"Having an overall pattern of fine, more or less parallel, lines of contrasting hue and/or intensity.","coloration","q"
"2537","A","striate","relief",,"Covered with very narrow and shallow, relatively long, more or less straight and parallel depressions.","coloration","q"
"2538","A","strict","course",,"Lacking any curve or bend.","course",
"2539","A","strigillose","pubescence",,"Finely strigose.","pubescence",
"2540","A","strigose","pubescence",,"Bearing sharp, rigid, appressed, capillate trichomes.  See also strigillose (strigulose).","pubescence",
"2541","A","strigulose","pubescence",,"Finely strigose.","pubescence",
"2542","N","stripe","feature","color","Having one or more elongate, relatively narrow and, when multiple, more or less parallel, areas of contrasting hue and/or intensity.","coloration",
